project_id,project_name,project_type,sector,state,district,constituency,block,village,latitude,longitude,sanction_amount,released_amount,expenditure_amount,start_date,expected_completion_date,actual_completion_date,reported_progress,observed_progress,observed_progress_status,status,agency,data_status,source_type,data_availability_status,anomaly_label,anomaly_category,created_at,updated_at,fused_risk_score,risk_tier
SYN-PRJ-00014,Construction of High-Level Submersible Bridge across Nullah at Village Sundarpur,BRIDGE,Bridges & Culverts,Jharkhand,Bokaro,Bokaro Parliamentary Constituency,Bokaro Block-1,Village Sundarpur,23.472081,85.324984,4595000.0,2999000.0,3449000.0,2023-12-28,2024-10-14,,42.2,,NOT_AVAILABLE,DELAYED,Water Supply & Sanitation Board,SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,1,UNUSUAL_FINANCIAL_PATTERN,2026-09-19 15:04:49.641099,2026-09-19 15:04:49.641101,98.5,CRITICAL
SYN-PRJ-00015,Installation of Solar Dual-Pump Piped Drinking Water System at Village Adarsh Nagar,WATER_TANK,Drinking Water & Sanitation,Mizoram,Lunglei,Lunglei Parliamentary Constituency,Lunglei Block-5,Village Adarsh Nagar,23.092423,92.902597,855000.0,789000.0,549000.0,2024-01-12,2024-08-31,,70.9,,NOT_AVAILABLE,DELAYED,Municipal Engineering Corporation,SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,0,NORMAL,2026-09-19 15:04:49.641112,2026-09-19 15:04:49.641114,40.0,MEDIUM
SYN-PRJ-00016,R.C.C. Box Culvert for Agricultural Drainage and Crossing at Village Sundarpur,BRIDGE,Bridges & Culverts,Assam,Jorhat,Jorhat Parliamentary Constituency,Jorhat Block-1,Village Sundarpur,26.128395,93.159873,3920000.0,3920000.0,3740000.0,2021-08-04,2022-11-09,2022-10-22,100.0,,NOT_AVAILABLE,COMPLETED,Rural Engineering Services (RES),SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,0,NORMAL,2026-09-19 15:04:49.641125,2026-09-19 15:04:49.641127,15.0,LOW
SYN-PRJ-00017,Establishment of Primary Health Sub-Centre Building at Village Gandhi Gram,BUILDING,Education & Community,Arunachal Pradesh,Papum Pare,Papum Pare Parliamentary Constituency,Papum Pare Block-3,Village Gandhi Gram,28.21638,94.600875,870000.0,870000.0,763000.0,2023-06-16,2024-06-21,2024-08-02,100.0,,NOT_AVAILABLE,COMPLETED,Municipal Engineering Corporation,SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,0,NORMAL,2026-09-19 15:04:49.641138,2026-09-19 15:04:49.641140,15.0,LOW
SYN-PRJ-00018,"Construction of 50,000 Litre Overhead R.C.C. Water Storage Tank at Village Gandhi Gram",WATER_TANK,Drinking Water & Sanitation,Kerala,Thiruvananthapuram,Thiruvananthapuram Parliamentary Constituency,Thiruvananthapuram Block-5,Village Gandhi Gram,10.949205,76.124599,580000.0,580000.0,494000.0,2021-11-04,2022-06-01,2022-06-29,100.0,32.0,OFFICER_VERIFIED,COMPLETED,Water Supply & Sanitation Board,SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,1,REALITY_GAP,2026-09-19 15:04:49.641152,2026-09-19 15:04:49.641155,72.0,HIGH
SYN-PRJ-00019,Deep Borewell with Submersible Motor and Public Distribution Cistern at Village Rampur,WATER_TANK,Drinking Water & Sanitation,Odisha,Balasore,Balasore Parliamentary Constituency,Balasore Block-2,Village Rampur,20.976764,84.86334,1425000.0,1425000.0,1293000.0,2023-06-02,2024-01-11,2024-01-19,100.0,,NOT_AVAILABLE,COMPLETED,Irrigation & Flood Control Department,SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,0,NORMAL,2026-09-19 15:04:49.641166,2026-09-19 15:04:49.641168,15.0,LOW
SYN-PRJ-00020,Construction of Foot Overbridge for School Commuters at Village Kalyanpur,BRIDGE,Bridges & Culverts,Ladakh,Leh,Leh Parliamentary Constituency,Leh Block-2,Village Kalyanpur,33.993218,77.600723,2280000.0,2279000.0,1777000.0,2024-09-24,2025-06-02,,78.3,,NOT_AVAILABLE,DELAYED,Irrigation & Flood Control Department,SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,0,NORMAL,2026-09-19 15:04:49.641179,2026-09-19 15:04:49.641181,40.0,MEDIUM
SYN-PRJ-00021,R.C.C. Box Culvert for Agricultural Drainage and Crossing at Village Mohanpur,BRIDGE,Bridges & Culverts,Puducherry,Karaikal,Karaikal Parliamentary Constituency,Karaikal Block-2,Village Mohanpur,12.030216,79.828864,3550000.0,3550000.0,3499000.0,2022-06-12,2023-12-21,2023-12-08,100.0,,NOT_AVAILABLE,COMPLETED,Zila Parishad Engineering Wing,SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,0,NORMAL,2026-09-19 15:04:49.641192,2026-09-19 15:04:49.641195,15.0,LOW
SYN-PRJ-00022,R.C.C. Box Culvert for Agricultural Drainage and Crossing at Village Rampur,BRIDGE,Bridges & Culverts,Assam,Silchar,Silchar Parliamentary Constituency,Silchar Block-4,Village Rampur,26.186722,92.901468,1970000.0,1970000.0,1834000.0,2022-09-11,2024-08-16,2024-08-11,100.0,,NOT_AVAILABLE,COMPLETED,Rural Engineering Services (RES),SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,0,NORMAL,2026-09-19 15:04:49.641210,2026-09-19 15:04:49.641213,15.0,LOW
SYN-PRJ-00023,Upgradation of Rural Link Road with Side Drains at Village Shivnagar,ROAD,Rural Connectivity & Transport,Telangana,Khammam,Khammam Parliamentary Constituency,Khammam Block-5,Village Shivnagar,17.934977,78.932919,2875000.0,2875000.0,2861000.0,2022-12-09,2023-08-07,2023-07-17,100.0,,NOT_AVAILABLE,COMPLETED,Water Supply & Sanitation Board,SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,0,NORMAL,2026-09-19 15:04:49.641223,2026-09-19 15:04:49.641226,15.0,LOW
SYN-PRJ-00024,Installation of Solar Dual-Pump Piped Drinking Water System at Village Rampur,WATER_TANK,Drinking Water & Sanitation,Uttar Pradesh,Prayagraj,Prayagraj Parliamentary Constituency,Prayagraj Block-3,Village Rampur,26.791423,81.073055,990000.0,990000.0,964000.0,2021-09-25,2022-04-10,2022-04-13,100.0,,NOT_AVAILABLE,COMPLETED,Irrigation & Flood Control Department,SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,0,NORMAL,2026-09-19 15:04:49.641237,2026-09-19 15:04:49.641240,15.0,LOW
SYN-PRJ-00025,Development of Anganwadi Center and Nutrition Hub at Village Kalyanpur,BUILDING,Education & Community,Telangana,Hyderabad,Hyderabad Parliamentary Constituency,Hyderabad Block-2,Village Kalyanpur,18.153634,78.807735,3005000.0,3005000.0,2690000.0,2022-04-13,2023-08-18,2023-09-16,100.0,,NOT_AVAILABLE,COMPLETED,Municipal Engineering Corporation,SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,0,NORMAL,2026-09-19 15:04:49.641250,2026-09-19 15:04:49.641252,15.0,LOW
SYN-PRJ-00026,Establishment of Primary Health Sub-Centre Building at Village Rampur,BUILDING,Education & Community,Uttarakhand,Dehradun,Dehradun Parliamentary Constituency,Dehradun Block-2,Village Rampur,30.10569,78.97309,1250000.0,1250000.0,1188000.0,2021-08-02,2022-03-29,2022-04-17,100.0,,NOT_AVAILABLE,COMPLETED,Water Supply & Sanitation Board,SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,0,NORMAL,2026-09-19 15:04:49.641263,2026-09-19 15:04:49.641265,15.0,LOW
SYN-PRJ-00027,Laying of Interlocking Tile Pavement in Resettlement Colony at Village Adarsh Nagar,ROAD,Rural Connectivity & Transport,Dadra and Nagar Haveli and Daman and Diu,Diu,Diu Parliamentary Constituency,Diu Block-5,Village Adarsh Nagar,11.599669,81.590301,1605000.0,1605000.0,1417000.0,2024-06-28,2025-06-03,2025-05-08,100.0,,NOT_AVAILABLE,COMPLETED,Rural Engineering Services (RES),SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,1,LOCATION_INCONSISTENCY,2026-09-19 15:04:49.641312,2026-09-19 15:04:49.641315,72.0,HIGH
SYN-PRJ-00028,Construction of High-Level Submersible Bridge across Nullah at Village Adarsh Nagar,BRIDGE,Bridges & Culverts,Gujarat,Vadodara,Vadodara Parliamentary Constituency,Vadodara Block-5,Village Adarsh Nagar,22.38242,71.304154,4855000.0,4855000.0,4281000.0,2022-02-07,2023-02-23,2023-03-23,100.0,,NOT_AVAILABLE,COMPLETED,State Bridge Construction Corporation,SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,0,NORMAL,2026-09-19 15:04:49.641326,2026-09-19 15:04:49.641329,15.0,LOW
SYN-PRJ-00029,Widening and Strengthening of Approach Road to Primary Health Centre at Village Sundarpur,ROAD,Rural Connectivity & Transport,Arunachal Pradesh,Papum Pare,Papum Pare Parliamentary Constituency,Papum Pare Block-3,Village Sundarpur,28.117294,94.690695,965000.0,902000.0,618000.0,2024-02-24,2024-06-28,,78.5,,NOT_AVAILABLE,DELAYED,Zila Parishad Engineering Wing,SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,0,NORMAL,2026-09-19 15:04:49.641339,2026-09-19 15:04:49.641342,40.0,MEDIUM
SYN-PRJ-00030,R.C.C. Box Culvert for Agricultural Drainage and Crossing at Village Sundarpur,BRIDGE,Bridges & Culverts,Andhra Pradesh,Krishna,Krishna Parliamentary Constituency,Krishna Block-2,Village Sundarpur,15.952652,79.857065,1095000.0,1095000.0,933000.0,2021-03-01,2022-06-01,,21.3,,NOT_AVAILABLE,STALLED,Rural Engineering Services (RES),SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,1,DELAY_PATTERN,2026-09-19 15:04:49.641357,2026-09-19 15:04:49.641360,90.0,CRITICAL
SYN-PRJ-00031,Deep Borewell with Submersible Motor and Public Distribution Cistern at Village Kalyanpur,WATER_TANK,Drinking Water & Sanitation,Uttarakhand,Dehradun,Dehradun Parliamentary Constituency,Dehradun Block-1,Village Kalyanpur,30.009299,78.997021,560000.0,560000.0,530000.0,2023-11-12,2024-05-05,2024-06-10,100.0,,NOT_AVAILABLE,COMPLETED,Rural Engineering Services (RES),SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,0,NORMAL,2026-09-19 15:04:49.641374,2026-09-19 15:04:49.641376,15.0,LOW
SYN-PRJ-00032,Installation of Community Water Purification RO Plant at Village Gandhi Gram,WATER_TANK,Drinking Water & Sanitation,Arunachal Pradesh,Papum Pare,Papum Pare Parliamentary Constituency,Papum Pare Block-4,Village Gandhi Gram,28.08524,94.584255,285000.0,218000.0,127000.0,2023-07-12,2024-01-13,,65.4,,NOT_AVAILABLE,DELAYED,Rural Engineering Services (RES),SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,0,NORMAL,2026-09-19 15:04:49.641387,2026-09-19 15:04:49.641389,40.0,MEDIUM
SYN-PRJ-00033,Major Causeway Reconstruction across Seasonal Stream at Village Mohanpur,BRIDGE,Bridges & Culverts,Lakshadweep,Kavaratti,Kavaratti Parliamentary Constituency,Kavaratti Block-4,Village Mohanpur,10.664203,72.804449,4340000.0,4340000.0,3829000.0,2021-09-06,2022-06-23,2022-08-02,100.0,,NOT_AVAILABLE,COMPLETED,State Bridge Construction Corporation,SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,0,NORMAL,2026-09-19 15:04:49.641400,2026-09-19 15:04:49.641403,15.0,LOW
SYN-PRJ-00034,Installation of Community Water Purification RO Plant at Village Shivnagar,WATER_TANK,Drinking Water & Sanitation,Delhi,South Delhi,South Delhi Parliamentary Constituency,South Delhi Block-4,Village Shivnagar,28.695459,77.222924,730000.0,526000.0,239000.0,2021-07-28,2022-03-31,,47.7,,NOT_AVAILABLE,DELAYED,State Bridge Construction Corporation,SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,0,NORMAL,2026-09-19 15:04:49.641413,2026-09-19 15:04:49.641416,40.0,MEDIUM
SYN-PRJ-00035,Construction of Additional Classrooms at Govt High School at Village Gandhi Gram,BUILDING,Education & Community,Ladakh,Leh,Leh Parliamentary Constituency,Leh Block-1,Village Gandhi Gram,34.195996,77.499686,3700000.0,3700000.0,3457000.0,2023-02-17,2023-10-04,2023-11-18,100.0,,NOT_AVAILABLE,COMPLETED,State Bridge Construction Corporation,SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,0,NORMAL,2026-09-19 15:04:49.641426,2026-09-19 15:04:49.641429,15.0,LOW
SYN-PRJ-00036,Installation of Solar Dual-Pump Piped Drinking Water System at Village Gandhi Gram,WATER_TANK,Drinking Water & Sanitation,Haryana,Hisar,Hisar Parliamentary Constituency,Hisar Block-3,Village Gandhi Gram,29.102167,76.270164,800000.0,800000.0,738000.0,2022-10-16,2023-05-17,2023-05-14,100.0,,NOT_AVAILABLE,COMPLETED,Irrigation & Flood Control Department,SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,0,NORMAL,2026-09-19 15:04:49.641440,2026-09-19 15:04:49.641442,15.0,LOW
SYN-PRJ-00037,Establishment of Primary Health Sub-Centre Building at Village Shivnagar,BUILDING,Education & Community,Gujarat,Vadodara,Vadodara Parliamentary Constituency,Vadodara Block-5,Village Shivnagar,22.254401,71.380157,4390000.0,4390000.0,4343000.0,2024-03-08,2025-04-11,2025-05-22,100.0,,NOT_AVAILABLE,COMPLETED,Zila Parishad Engineering Wing,SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,0,NORMAL,2026-09-19 15:04:49.641453,2026-09-19 15:04:49.641455,15.0,LOW
SYN-PRJ-00038,Construction of Foot Overbridge for School Commuters at Village Shivnagar,BRIDGE,Bridges & Culverts,Nagaland,Kohima,Kohima Parliamentary Constituency,Kohima Block-2,Village Shivnagar,25.844031,94.661028,4415000.0,4415000.0,4243000.0,2022-01-21,2022-09-21,2022-10-12,100.0,,NOT_AVAILABLE,COMPLETED,Municipal Engineering Corporation,SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,0,NORMAL,2026-09-19 15:04:49.641467,2026-09-19 15:04:49.641470,15.0,LOW
SYN-PRJ-00039,Installation of Community Water Purification RO Plant at Village Sundarpur,WATER_TANK,Drinking Water & Sanitation,Arunachal Pradesh,Papum Pare,Papum Pare Parliamentary Constituency,Papum Pare Block-5,Village Sundarpur,28.228446,94.691919,835000.0,835000.0,820000.0,2021-12-03,2022-04-29,2022-06-10,100.0,,NOT_AVAILABLE,COMPLETED,Water Supply & Sanitation Board,SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,0,NORMAL,2026-09-19 15:04:49.641480,2026-09-19 15:04:49.641483,15.0,LOW
SYN-PRJ-00040,Establishment of Primary Health Sub-Centre Building at Village Rampur,BUILDING,Education & Community,Jharkhand,Dhanbad,Dhanbad Parliamentary Constituency,Dhanbad Block-5,Village Rampur,23.621211,85.041392,2315000.0,2315000.0,2146000.0,2023-06-02,2024-11-01,2024-11-05,100.0,,NOT_AVAILABLE,COMPLETED,Water Supply & Sanitation Board,SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,0,NORMAL,2026-09-19 15:04:49.641493,2026-09-19 15:04:49.641496,15.0,LOW
SYN-PRJ-00041,Deep Borewell with Submersible Motor and Public Distribution Cistern at Village Shivnagar,WATER_TANK,Drinking Water & Sanitation,Tamil Nadu,Tiruchirappalli,Tiruchirappalli Parliamentary Constituency,Tiruchirappalli Block-1,Village Shivnagar,11.100739,78.699754,1970000.0,1367000.0,596000.0,2023-04-04,2023-07-29,,45.2,,NOT_AVAILABLE,DELAYED,Public Works Department (PWD),SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,0,NORMAL,2026-09-19 15:04:49.641506,2026-09-19 15:04:49.641509,40.0,MEDIUM
SYN-PRJ-00042,Construction of Gram Panchayat Citizen Service Center at Village Rampur,BUILDING,Education & Community,Mizoram,Lunglei,Lunglei Parliamentary Constituency,Lunglei Block-3,Village Rampur,23.341847,92.875408,1865000.0,1865000.0,1772000.0,2021-10-06,2022-07-02,2022-08-05,100.0,,NOT_AVAILABLE,COMPLETED,State Bridge Construction Corporation,SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,0,NORMAL,2026-09-19 15:04:49.641519,2026-09-19 15:04:49.641522,15.0,LOW
SYN-PRJ-00043,Construction of Gram Panchayat Citizen Service Center at Village Gandhi Gram,BUILDING,Education & Community,Tamil Nadu,Chennai,Chennai Parliamentary Constituency,Chennai Block-4,Village Gandhi Gram,11.030081,78.596689,3915000.0,3915000.0,3704000.0,2021-06-23,2022-08-12,2022-09-24,100.0,,NOT_AVAILABLE,COMPLETED,Public Works Department (PWD),SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,0,NORMAL,2026-09-19 15:04:49.641532,2026-09-19 15:04:49.641535,15.0,LOW
SYN-PRJ-00044,R.C.C. Box Culvert for Agricultural Drainage and Crossing at Village Rampur,BRIDGE,Bridges & Culverts,Odisha,Bhubaneswar,Bhubaneswar Parliamentary Constituency,Bhubaneswar Block-4,Village Rampur,21.061548,85.13795,895000.0,895000.0,815000.0,2023-01-26,2024-11-21,2024-11-22,100.0,,NOT_AVAILABLE,COMPLETED,Water Supply & Sanitation Board,SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,0,NORMAL,2026-09-19 15:04:49.641546,2026-09-19 15:04:49.641549,15.0,LOW
SYN-PRJ-00045,R.C.C. Box Culvert for Agricultural Drainage and Crossing at Village Adarsh Nagar,BRIDGE,Bridges & Culverts,Goa,South Goa,South Goa Parliamentary Constituency,South Goa Block-3,Village Adarsh Nagar,15.235729,74.185592,845000.0,845000.0,833000.0,2021-12-25,2023-09-24,2023-10-31,100.0,,NOT_AVAILABLE,COMPLETED,Municipal Engineering Corporation,SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,0,NORMAL,2026-09-19 15:04:49.641559,2026-09-19 15:04:49.641562,15.0,LOW
SYN-PRJ-00046,Erection of Multi-Purpose Community Hall at Village Sundarpur,BUILDING,Education & Community,Tamil Nadu,Madurai,Madurai Parliamentary Constituency,Madurai Block-2,Village Sundarpur,19.638749,87.273137,2810000.0,2810000.0,2714000.0,2022-01-05,2022-10-13,2022-09-22,100.0,,NOT_AVAILABLE,COMPLETED,Irrigation & Flood Control Department,SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,1,LOCATION_INCONSISTENCY,2026-09-19 15:04:49.641574,2026-09-19 15:04:49.641577,72.0,HIGH
SYN-PRJ-00047,Construction of Gram Panchayat Citizen Service Center at Village Kalyanpur,BUILDING,Education & Community,Rajasthan,Udaipur,Udaipur Parliamentary Constituency,Udaipur Block-2,Village Kalyanpur,26.939554,74.178581,3635000.0,3635000.0,3259000.0,2022-09-27,2024-02-12,2024-02-27,100.0,,NOT_AVAILABLE,COMPLETED,Water Supply & Sanitation Board,SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,0,NORMAL,2026-09-19 15:04:49.641589,2026-09-19 15:04:49.641591,15.0,LOW
SYN-PRJ-00048,Construction of High-Level Submersible Bridge across Nullah at Village Shivnagar,BRIDGE,Bridges & Culverts,Delhi,Central Delhi,Central Delhi Parliamentary Constituency,Central Delhi Block-1,Village Shivnagar,28.657047,76.926878,2780000.0,2780000.0,2671000.0,2024-05-15,2025-11-20,2025-12-30,100.0,,NOT_AVAILABLE,COMPLETED,Rural Engineering Services (RES),SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,0,NORMAL,2026-09-19 15:04:49.641603,2026-09-19 15:04:49.641605,15.0,LOW
SYN-PRJ-00049,Upgradation of Rural Link Road with Side Drains at Village Adarsh Nagar,ROAD,Rural Connectivity & Transport,Assam,Nagaon,Nagaon Parliamentary Constituency,Nagaon Block-5,Village Adarsh Nagar,26.236134,92.968927,1500000.0,500000.0,1200000.0,2021-11-19,2022-10-31,2022-11-13,100.0,,NOT_AVAILABLE,COMPLETED,Water Supply & Sanitation Board,SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,1,DOCUMENT_INCONSISTENCY,2026-09-19 15:04:49.641616,2026-09-19 15:04:49.641619,80.0,CRITICAL
